Dividends,Stock Splits,Symbol
0.000536,0.0,AAPL
0.0,2.0,AAPL
0.000536,0.0,AAPL
0.000714,0.0,AAPL
0.000714,0.0,AAPL
0.000714,0.0,AAPL
0.000714,0.0,AAPL
0.000893,0.0,AAPL
0.000893,0.0,AAPL
0.000893,0.0,AAPL
0.000893,0.0,AAPL
0.000982,0.0,AAPL
0.000982,0.0,AAPL
0.000982,0.0,AAPL
0.000982,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.001071,0.0,AAPL
0.0,2.0,AAPL
0.0,2.0,AAPL
0.094643,0.0,AAPL
0.094643,0.0,AAPL
0.094643,0.0,AAPL
0.108929,0.0,AAPL
0.108929,0.0,AAPL
0.108929,0.0,AAPL
0.108929,0.0,AAPL
0.1175,0.0,AAPL
0.0,7.0,AAPL
0.1175,0.0,AAPL
0.1175,0.0,AAPL
0.1175,0.0,AAPL
0.13,0.0,AAPL
0.13,0.0,AAPL
0.13,0.0,AAPL
0.13,0.0,AAPL
0.1425,0.0,AAPL
0.1425,0.0,AAPL
0.1425,0.0,AAPL
0.1425,0.0,AAPL
0.1575,0.0,AAPL
0.1575,0.0,AAPL
0.1575,0.0,AAPL
0.1575,0.0,AAPL
0.1825,0.0,AAPL
0.1825,0.0,AAPL
0.1825,0.0,AAPL
0.1825,0.0,AAPL
0.1925,0.0,AAPL
0.1925,0.0,AAPL
0.1925,0.0,AAPL
0.1925,0.0,AAPL
0.205,0.0,AAPL
0.205,0.0,AAPL
0.0,4.0,AAPL
0.205,0.0,AAPL
